question_id,category,subcategory,question_text_conversational,type,conditional_logic,weight,impact_on_recommendations
B01,Basic,Destination Status,"Got a place in mind, or should we surprise you?",single_select,,1.0,Routes to destination recommendation vs known-destination flow
B02,Basic,Trip Type,"Sticking close to home, or going further afield?",single_select,,1.0,Sets domestic/international branching for Tier 2 questions
B03,Basic,Departure,Where are you setting off from?,city_autocomplete,,1.0,Drives flight_routes matching and cost/duration filtering
B04,Basic,Timing,When's this trip happening?,month_picker,,1.0,"Seasonal/weather matching, festival advisory checks"
B05,Basic,Flexibility,"Any specific dates you're locked into, or is there wiggle room?",toggle,,0.6,Affects pricing-tier and availability messaging
B06,Basic,Duration,How many days do you actually have?,number,,1.0,Filters packages by duration_nights
B07,Basic,Group Size,"Just you, or is this a crew?",number_split,,1.0,Drives per-person vs total pricing logic
B08,Basic,Group Type,Who's coming with you on this one?,single_select,,1.0,Drives conditional occasion options and persona hard-overrides
B09,Basic,Group Type Detail,Kids in the mix? What ages?,multi_number,group_type==Family,0.8,Filters experiences by age_suitability
B10,Basic,Occasion,What's the story behind this trip?,single_select (conditional options),,1.0,Drives persona hard-override rules
B11,Basic,Budget,"If this trip becomes unforgettable, how much are you comfortable spending?",single_select,,1.0,Primary budget-band filter
B12,Basic,Budget Scope,"Is that for everyone, or just you?",single_select,,0.7,Per-person vs total trip budget normalization
B13,Basic,Stay Style,"When you picture where you're staying, what's the vibe?",visual_card_select,,0.9,"Hotel category preference, feeds Luxury dimension score"
B14,Basic,Repeat Traveler,"Have you done a trip like this before, or is this a first?",single_select,,0.4,"Confidence-score weighting, novelty-seeking signal"
B15,Basic,Trip Stakes,On a scale of 'nice to have' to 'this has to be perfect' - where does this trip sit?,slider,,0.6,Affects how aggressively upsells/hidden-gems get surfaced
P01,Personality,Luxury (depth),"When you say luxury, is it more 'quiet private villa' or 'rooftop bar everyone's watching'?",single_select,luxury_score>=60,0.7,Refines Luxury dimension into a quiet/social sub-axis for hotel & experience matching
P02,Personality,Adventure (depth),"Adrenaline rush, or just want to feel like you're somewhere wild?",single_select,adventure_score>=50,0.6,Distinguishes high-intensity activities from scenic/nature-adjacent ones
P03,Personality,Food (depth),Street food chaos or a proper sit-down table?,single_select,food_score>=50,0.5,Filters Food-tagged experiences by formality
